Date,Home Team,Score,Away Team
10-11-2024,Nott'm Forest,1 - 3,Newcastle
23-11-2024,Arsenal,3 - 0,Nott'm Forest
30-11-2024,Nott'm Forest,1 - 0,Ipswich
04-12-2024,Man City,3 - 0,Nott'm Forest
07-12-2024,Man United,2 - 3,Nott'm Forest
14-12-2024,Nott'm Forest,2 - 1,Aston Villa
21-12-2024,Brentford,0 - 2,Nott'm Forest
17-08-2024,Newcastle,1 - 0,Southampton
24-08-2024,Southampton,0 - 1,Nott'm Forest
31-08-2024,Brentford,3 - 1,Southampton
14-09-2024,Southampton,0 - 3,Man United
21-09-2024,Southampton,1 - 1,Ipswich
30-09-2024,Bournemouth,3 - 1,Southampton
05-10-2024,Arsenal,3 - 1,Southampton
19-10-2024,Southampton,2 - 3,Leicester
26-10-2024,Man City,1 - 0,Southampton
02-11-2024,Southampton,1 - 0,Everton
09-11-2024,Wolves,2 - 0,Southampton
24-11-2024,Southampton,2 - 3,Liverpool
29-11-2024,Brighton,1 - 1,Southampton
04-12-2024,Southampton,1 - 5,Chelsea
07-12-2024,Aston Villa,1 - 0,Southampton
15-12-2024,Southampton,0 - 5,Tottenham
22-12-2024,Fulham,0 - 0,Southampton
19-08-2024,Leicester,1 - 1,Tottenham
24-08-2024,Tottenham,4 - 0,Everton
01-09-2024,Newcastle,2 - 1,Tottenham
15-09-2024,Tottenham,0 - 1,Arsenal
21-09-2024,Tottenham,3 - 1,Brentford
29-09-2024,Man United,0 - 3,Tottenham
06-10-2024,Brighton,3 - 2,Tottenham
19-10-2024,Tottenham,4 - 1,West Ham
27-10-2024,Crystal Palace,1 - 0,Tottenham
03-11-2024,Tottenham,4 - 1,Aston Villa
10-11-2024,Tottenham,1 - 2,Ipswich
23-11-2024,Man City,0 - 4,Tottenham
01-12-2024,Tottenham,1 - 1,Fulham
05-12-2024,Bournemouth,1 - 0,Tottenham
08-12-2024,Tottenham,3 - 4,Chelsea
15-12-2024,Southampton,0 - 5,Tottenham
22-12-2024,Tottenham,3 - 6,Liverpool
17-08-2024,West Ham,1 - 2,Aston Villa
24-08-2024,Crystal Palace,0 - 2,West Ham
31-08-2024,West Ham,1 - 3,Man City
14-09-2024,Fulham,1 - 1,West Ham
21-09-2024,West Ham,0 - 3,Chelsea
28-09-2024,Brentford,1 - 1,West Ham
05-10-2024,West Ham,4 - 1,Ipswich
19-10-2024,Tottenham,4 - 1,West Ham
27-10-2024,West Ham,2 - 1,Man United
02-11-2024,Nott'm Forest,3 - 0,West Ham
09-11-2024,West Ham,0 - 0,Everton
25-11-2024,Newcastle,0 - 2,West Ham
30-11-2024,West Ham,2 - 5,Arsenal
03-12-2024,Leicester,3 - 1,West Ham
09-12-2024,West Ham,2 - 1,Wolves
16-12-2024,Bournemouth,1 - 1,West Ham
21-12-2024,West Ham,1 - 1,Brighton
17-08-2024,Arsenal,2 - 0,Wolves
25-08-2024,Wolves,2 - 6,Chelsea
31-08-2024,Nott'm Forest,1 - 1,Wolves
15-09-2024,Wolves,1 - 2,Newcastle
21-09-2024,Aston Villa,3 - 1,Wolves
28-09-2024,Wolves,1 - 2,Liverpool
05-10-2024,Brentford,5 - 3,Wolves
20-10-2024,Wolves,1 - 2,Man City
26-10-2024,Brighton,2 - 2,Wolves
02-11-2024,Wolves,2 - 2,Crystal Palace
09-11-2024,Wolves,2 - 0,Southampton
23-11-2024,Fulham,1 - 4,Wolves
30-11-2024,Wolves,2 - 4,Bournemouth
04-12-2024,Everton,4 - 0,Wolves
09-12-2024,West Ham,2 - 1,Wolves
14-12-2024,Wolves,1 - 2,Ipswich
22-12-2024,Leicester,0 - 3,Wolves
